comunidades autónomas, tipología penal y periodos;Enero-septiembre 2019;Enero-septiembre 2020;Variación % 2020/2019
    TOTAL INFRACCIONES PENALES;52.538;45.701;-13,0
CATALUÑA;;;
    1.-Homicidios dolosos y asesinatos consumados;41;40;-2,4
    2.-Homicidios dolosos y asesinatos en grado tentativa;142;142;0,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.523;1.925;-23,7
    4.-Secuestro;6;6;0,0
    5.-Delitos contra la libertad e indemnidad sexual;2.292;1.963;-14,4
    5.1.-Agresión sexual con penetración;419;369;-11,9
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.873;1.594;-14,9
    6.-Robos con violencia e intimidación;19.372;14.304;-26,2
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;24.788;16.787;-32,3
    7.1.-Robos con fuerza en domicilios;17.081;11.553;-32,4
    8.-Hurtos;147.392;78.633;-46,7
    9.-Sustracciones de vehículos;7.119;4.597;-35,4
    10.-Tráfico de drogas;2.007;2.247;12,0
    Resto de infracciones penales;160.777;144.210;-10,3
    TOTAL INFRACCIONES PENALES;366.459;264.854;-27,7
COMUNITAT VALENCIANA;;;
    1.-Homicidios dolosos y asesinatos consumados;31;29;-6,5
    2.-Homicidios dolosos y asesinatos en grado tentativa;82;71;-13,4
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.681;1.363;-18,9
    4.-Secuestro;4;12;200,0
    5.-Delitos contra la libertad e indemnidad sexual;1.334;1.164;-12,7
    5.1.-Agresión sexual con penetración;139;138;-0,7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.195;1.026;-14,1
    6.-Robos con violencia e intimidación;3.679;2.767;-24,8
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;14.776;11.021;-25,4
    7.1.-Robos con fuerza en domicilios;11.438;8.418;-26,4
    8.-Hurtos;52.362;31.803;-39,3
    9.-Sustracciones de vehículos;2.433;1.821;-25,2
    10.-Tráfico de drogas;1.510;1.412;-6,5
    Resto de infracciones penales;98.027;91.887;-6,3
    TOTAL INFRACCIONES PENALES;175.919;143.350;-18,5
EXTREMADURA;;;
    1.-Homicidios dolosos y asesinatos consumados;3;7;133,3
    2.-Homicidios dolosos y asesinatos en grado tentativa;6;10;66,7
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;228;184;-19,3
    4.-Secuestro;0;0;0,0
    5.-Delitos contra la libertad e indemnidad sexual;157;138;-12,1
    5.1.-Agresión sexual con penetración;14;12;-14,3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;143;126;-11,9
    6.-Robos con violencia e intimidación;239;161;-32,6
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1.146;1.195;4,3
    7.1.-Robos con fuerza en domicilios;705;741;5,1
    8.-Hurtos;4.797;3.126;-34,8
    9.-Sustracciones de vehículos;112;132;17,9
    10.-Tráfico de drogas;242;226;-6,6
    Resto de infracciones penales;13.323;13.386;0,5
    TOTAL INFRACCIONES PENALES;20.253;18.565;-8,3
GALICIA;;;
    1.-Homicidios dolosos y asesinatos consumados;14;9;-35,7
    2.-Homicidios dolosos y asesinatos en grado tentativa;16;24;50,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;738;606;-17,9
    4.-Secuestro;1;0;-100,0
    5.-Delitos contra la libertad e indemnidad sexual;493;407;-17,4
    5.1.-Agresión sexual con penetración;79;46;-41,8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;414;361;-12,8
    6.-Robos con violencia e intimidación;706;581;-17,7
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;3.583;3.106;-13,3
    7.1.-Robos con fuerza en domicilios;2.091;1.832;-12,4
    8.-Hurtos;14.342;9.346;-34,8
    9.-Sustracciones de vehículos;442;363;-17,9
    10.-Tráfico de drogas;381;413;8,4
    Resto de infracciones penales;39.421;38.920;-1,3
    TOTAL INFRACCIONES PENALES;60.137;53.775;-10,6
MADRID (COMUNIDAD DE);;;
    1.-Homicidios dolosos y asesinatos consumados;21;28;33,3
    2.-Homicidios dolosos y asesinatos en grado tentativa;58;71;22,4
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.842;1.708;-7,3
    4.-Secuestro;15;6;-60,0
    5.-Delitos contra la libertad e indemnidad sexual;1.640;1.492;-9,0
    5.1.-Agresión sexual con penetración;173;170;-1,7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.467;1.322;-9,9
    6.-Robos con violencia e intimidación;10.995;7.702;-29,9
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;13.673;9.123;-33,3
    7.1.-Robos con fuerza en domicilios;8.630;5.234;-39,4
    8.-Hurtos;112.199;67.754;-39,6
    9.-Sustracciones de vehículos;6.018;4.698;-21,9
    10.-Tráfico de drogas;1.999;1.711;-14,4
    Resto de infracciones penales;151.062;132.260;-12,4
    TOTAL INFRACCIONES PENALES;299.522;226.553;-24,4
MURCIA (REGIÓN DE);;;
    1.-Homicidios dolosos y asesinatos consumados;9;8;-11,1
    2.-Homicidios dolosos y asesinatos en grado tentativa;19;34;78,9
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;569;482;-15,3
    4.-Secuestro;2;1;-50,0
    5.-Delitos contra la libertad e indemnidad sexual;405;396;-2,2
    5.1.-Agresión sexual con penetración;31;51;64,5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;374;345;-7,8
    6.-Robos con violencia e intimidación;1.149;914;-20,5
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;4.602;3.600;-21,8
    7.1.-Robos con fuerza en domicilios;3.692;2.903;-21,4
    8.-Hurtos;11.525;7.402;-35,8
    9.-Sustracciones de vehículos;667;581;-12,9
    10.-Tráfico de drogas;261;296;13,4
    Resto de infracciones penales;23.641;24.286;2,7
    TOTAL INFRACCIONES PENALES;42.849;38.000;-11,3
NAVARRA (COMUNIDAD FORAL DE);;;
    1.-Homicidios dolosos y asesinatos consumados;4;1;-75,0
    2.-Homicidios dolosos y asesinatos en grado tentativa;11;15;36,4
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;317;144;-54,6
    4.-Secuestro;0;3;100,0
    5.-Delitos contra la libertad e indemnidad sexual;188;180;-4,3
    5.1.-Agresión sexual con penetración;22;14;-36,4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;166;166;0,0
    6.-Robos con violencia e intimidación;242;159;-34,3
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1.137;842;-25,9
    7.1.-Robos con fuerza en domicilios;732;493;-32,7
    8.-Hurtos;6.764;3.398;-49,8
    9.-Sustracciones de vehículos;133;98;-26,3
    10.-Tráfico de drogas;132;109;-17,4
    Resto de infracciones penales;13.207;12.452;-5,7
    TOTAL INFRACCIONES PENALES;22.135;17.401;-21,4
PAÍS VASCO;;;
    1.-Homicidios dolosos y asesinatos consumados;9;12;33,3
    2.-Homicidios dolosos y asesinatos en grado tentativa;20;21;5,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;856;687;-19,7
    4.-Secuestro;6;2;-66,7
    5.-Delitos contra la libertad e indemnidad sexual;480;421;-12,3
    5.1.-Agresión sexual con penetración;87;54;-37,9
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;393;367;-6,6
    6.-Robos con violencia e intimidación;1.202;777;-35,4
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;6.056;3.978;-34,3
    7.1.-Robos con fuerza en domicilios;3.767;2.615;-30,6
    8.-Hurtos;22.770;13.273;-41,7
    9.-Sustracciones de vehículos;690;490;-29,0
    10.-Tráfico de drogas;320;388;21,3
    Resto de infracciones penales;37.913;36.501;-3,7
    TOTAL INFRACCIONES PENALES;70.322;56.550;-19,6
RIOJA (LA);;;
    1.-Homicidios dolosos y asesinatos consumados;0;4;100,0
    2.-Homicidios dolosos y asesinatos en grado tentativa;4;2;-50,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;108;100;-7,4
    4.-Secuestro;0;0;0,0
    5.-Delitos contra la libertad e indemnidad sexual;67;86;28,4
    5.1.-Agresión sexual con penetración;5;7;40,0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;62;79;27,4
    6.-Robos con violencia e intimidación;69;59;-14,5
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;412;329;-20,1
    7.1.-Robos con fuerza en domicilios;323;252;-22,0
    8.-Hurtos;1.793;1.087;-39,4
    9.-Sustracciones de vehículos;47;21;-55,3
    10.-Tráfico de drogas;85;58;-31,8
    Resto de infracciones penales;3.979;4.048;1,7
    TOTAL INFRACCIONES PENALES;6.564;5.794;-11,7
CIUDAD AUTÓNOMA DE CEUTA;;;
    1.-Homicidios dolosos y asesinatos consumados;4;1;-75,0
    2.-Homicidios dolosos y asesinatos en grado tentativa;15;3;-80,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;31;68;119,4
    4.-Secuestro;1;0;-100,0
    5.-Delitos contra la libertad e indemnidad sexual;17;31;82,4
    5.1.-Agresión sexual con penetración;2;1;-50,0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;15;30;100,0
    6.-Robos con violencia e intimidación;110;94;-14,5
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;46;56;21,7
    7.1.-Robos con fuerza en domicilios;30;31;3,3
    8.-Hurtos;648;371;-42,7
    9.-Sustracciones de vehículos;113;69;-38,9
    10.-Tráfico de drogas;184;184;0,0
    Resto de infracciones penales;2.350;2.005;-14,7
    TOTAL INFRACCIONES PENALES;3.519;2.882;-18,1
CIUDAD AUTÓNOMA DE MELILLA;;;
    1.-Homicidios dolosos y asesinatos consumados;0;0;0,0
    2.-Homicidios dolosos y asesinatos en grado tentativa;5;2;-60,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;111;116;4,5
    4.-Secuestro;0;0;0,0
    5.-Delitos contra la libertad e indemnidad sexual;26;27;3,8
    5.1.-Agresión sexual con penetración;3;2;-33,3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;23;25;8,7
    6.-Robos con violencia e intimidación;270;239;-11,5
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;78;53;-32,1
    7.1.-Robos con fuerza en domicilios;52;35;-32,7
    8.-Hurtos;907;576;-36,5
    9.-Sustracciones de vehículos;61;29;-52,5
    10.-Tráfico de drogas;59;125;111,9
    Resto de infracciones penales;2.734;2.172;-20,6
    TOTAL INFRACCIONES PENALES;4.251;3.339;-21,5
EN EL EXTRANJERO;;;
    1.-Homicidios dolosos y asesinatos consumados;1;1;0,0
    2.-Homicidios dolosos y asesinatos en grado tentativa;1;0;-100,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4;6;50,0
    4.-Secuestro;3;1;-66,7
    5.-Delitos contra la libertad e indemnidad sexual;52;33;-36,5
    5.1.-Agresión sexual con penetración;12;7;-41,7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;40;26;-35,0
    6.-Robos con violencia e intimidación;208;68;-67,3
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;15;12;-20,0
    7.1.-Robos con fuerza en domicilios;12;10;-16,7
    8.-Hurtos;2.367;803;-66,1
    9.-Sustracciones de vehículos;82;67;-18,3
    10.-Tráfico de drogas;5;15;200,0
    Resto de infracciones penales;8.911;6.012;-32,5
    TOTAL INFRACCIONES PENALES;11.649;7.018;-39,8
