Delitos;Enero-marzo 2019;Enero-marzo 2020;Variación % 2020/2019;Comunidad Autonoma
    Resto de infracciones penales;51642;49331;-4,5;CATALUÑA
    TOTAL INFRACCIONES PENALES;116512;102132;-12,3;CATALUÑA
COMUNITAT VALENCIANA;;;;
    1.-Homicidios dolosos y asesinatos consumados;11;10;-9,1;COMUNITAT VALENCIANA
    2.-Homicidios dolosos y asesinatos en grado tentativa;27;19;-29,6;COMUNITAT VALENCIANA
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;456;456;0;COMUNITAT VALENCIANA
    4.-Secuestro;0;4;100;COMUNITAT VALENCIANA
    5.-Delitos contra la libertad e indemnidad sexual;406;363;-10,6;COMUNITAT VALENCIANA
    5.1.-Agresión sexual con penetración;38;40;5,3;COMUNITAT VALENCIANA
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;368;323;-12,2;COMUNITAT VALENCIANA
    6.-Robos con violencia e intimidación;1208;1013;-16,1;COMUNITAT VALENCIANA
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;5238;4554;-13,1;COMUNITAT VALENCIANA
    7.1.-Robos con fuerza en domicilios;4145;3368;-18,7;COMUNITAT VALENCIANA
    8.-Hurtos;16184;12654;-21,8;COMUNITAT VALENCIANA
    9.-Sustracciones de vehículos;819;637;-22,2;COMUNITAT VALENCIANA
    10.-Tráfico de drogas;437;440;0,7;COMUNITAT VALENCIANA
    Resto de infracciones penales;30997;29087;-6,2;COMUNITAT VALENCIANA
    TOTAL INFRACCIONES PENALES;55783;49237;-11,7;COMUNITAT VALENCIANA
EXTREMADURA;;;;
    1.-Homicidios dolosos y asesinatos consumados;1;1;0;EXTREMADURA
    2.-Homicidios dolosos y asesinatos en grado tentativa;0;0;0;EXTREMADURA
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;80;54;-32,5;EXTREMADURA
    4.-Secuestro;0;0;0;EXTREMADURA
    5.-Delitos contra la libertad e indemnidad sexual;35;52;48,6;EXTREMADURA
    5.1.-Agresión sexual con penetración;2;2;0;EXTREMADURA
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;33;50;51,5;EXTREMADURA
    6.-Robos con violencia e intimidación;81;57;-29,6;EXTREMADURA
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;464;506;9,1;EXTREMADURA
    7.1.-Robos con fuerza en domicilios;276;325;17,8;EXTREMADURA
    8.-Hurtos;1674;1380;-17,6;EXTREMADURA
    9.-Sustracciones de vehículos;45;61;35,6;EXTREMADURA
    10.-Tráfico de drogas;64;59;-7,8;EXTREMADURA
    Resto de infracciones penales;4335;4331;-0,1;EXTREMADURA
    TOTAL INFRACCIONES PENALES;6779;6501;-4,1;EXTREMADURA
GALICIA;;;;
    1.-Homicidios dolosos y asesinatos consumados;4;4;0;GALICIA
    2.-Homicidios dolosos y asesinatos en grado tentativa;7;8;14,3;GALICIA
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;225;192;-14,7;GALICIA
    4.-Secuestro;0;0;0;GALICIA
    5.-Delitos contra la libertad e indemnidad sexual;147;134;-8,8;GALICIA
    5.1.-Agresión sexual con penetración;13;12;-7,7;GALICIA
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;134;122;-9;GALICIA
    6.-Robos con violencia e intimidación;224;207;-7,6;GALICIA
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1269;1318;3,9;GALICIA
    7.1.-Robos con fuerza en domicilios;741;742;0,1;GALICIA
    8.-Hurtos;4449;3706;-16,7;GALICIA
    9.-Sustracciones de vehículos;139;131;-5,8;GALICIA
    10.-Tráfico de drogas;109;112;2,8;GALICIA
    Resto de infracciones penales;12603;11916;-5,5;GALICIA
    TOTAL INFRACCIONES PENALES;19176;17728;-7,6;GALICIA
MADRID (COMUNIDAD DE);;;;
    1.-Homicidios dolosos y asesinatos consumados;10;11;10;MADRID (COMUNIDAD DE)
    2.-Homicidios dolosos y asesinatos en grado tentativa;15;19;26,7;MADRID (COMUNIDAD DE)
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;598;576;-3,7;MADRID (COMUNIDAD DE)
    4.-Secuestro;3;2;-33,3;MADRID (COMUNIDAD DE)
    5.-Delitos contra la libertad e indemnidad sexual;539;502;-6,9;MADRID (COMUNIDAD DE)
    5.1.-Agresión sexual con penetración;56;58;3,6;MADRID (COMUNIDAD DE)
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;483;444;-8,1;MADRID (COMUNIDAD DE)
    6.-Robos con violencia e intimidación;3485;3406;-2,3;MADRID (COMUNIDAD DE)
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;4762;4185;-12,1;MADRID (COMUNIDAD DE)
    7.1.-Robos con fuerza en domicilios;2860;2149;-24,9;MADRID (COMUNIDAD DE)
    8.-Hurtos;40491;34331;-15,2;MADRID (COMUNIDAD DE)
    9.-Sustracciones de vehículos;2128;1822;-14,4;MADRID (COMUNIDAD DE)
    10.-Tráfico de drogas;650;615;-5,4;MADRID (COMUNIDAD DE)
    Resto de infracciones penales;50329;46335;-7,9;MADRID (COMUNIDAD DE)
    TOTAL INFRACCIONES PENALES;103010;91804;-10,9;MADRID (COMUNIDAD DE)
MURCIA (REGIÓN DE);;;;
    1.-Homicidios dolosos y asesinatos consumados;3;1;-66,7;MURCIA (REGIÓN DE)
    2.-Homicidios dolosos y asesinatos en grado tentativa;10;7;-30;MURCIA (REGIÓN DE)
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;188;130;-30,9;MURCIA (REGIÓN DE)
    4.-Secuestro;2;0;-100;MURCIA (REGIÓN DE)
    5.-Delitos contra la libertad e indemnidad sexual;131;126;-3,8;MURCIA (REGIÓN DE)
    5.1.-Agresión sexual con penetración;8;21;162,5;MURCIA (REGIÓN DE)
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;123;105;-14,6;MURCIA (REGIÓN DE)
    6.-Robos con violencia e intimidación;377;345;-8,5;MURCIA (REGIÓN DE)
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1681;1414;-15,9;MURCIA (REGIÓN DE)
    7.1.-Robos con fuerza en domicilios;1361;1146;-15,8;MURCIA (REGIÓN DE)
    8.-Hurtos;3826;2891;-24,4;MURCIA (REGIÓN DE)
    9.-Sustracciones de vehículos;224;229;2,2;MURCIA (REGIÓN DE)
    10.-Tráfico de drogas;87;94;8;MURCIA (REGIÓN DE)
    Resto de infracciones penales;7765;8086;4,1;MURCIA (REGIÓN DE)
    TOTAL INFRACCIONES PENALES;14294;13323;-6,8;MURCIA (REGIÓN DE)
NAVARRA (COMUNIDAD FORAL DE);;;;
    1.-Homicidios dolosos y asesinatos consumados;3;1;-66,7;NAVARRA (COMUNIDAD FORAL DE)
    2.-Homicidios dolosos y asesinatos en grado tentativa;0;3;100;NAVARRA (COMUNIDAD FORAL DE)
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;87;52;-40,2;NAVARRA (COMUNIDAD FORAL DE)
    4.-Secuestro;0;0;0;NAVARRA (COMUNIDAD FORAL DE)
    5.-Delitos contra la libertad e indemnidad sexual;52;62;19,2;NAVARRA (COMUNIDAD FORAL DE)
    5.1.-Agresión sexual con penetración;5;5;0;NAVARRA (COMUNIDAD FORAL DE)
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;47;57;21,3;NAVARRA (COMUNIDAD FORAL DE)
    6.-Robos con violencia e intimidación;46;74;60,9;NAVARRA (COMUNIDAD FORAL DE)
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;381;386;1,3;NAVARRA (COMUNIDAD FORAL DE)
    7.1.-Robos con fuerza en domicilios;217;202;-6,9;NAVARRA (COMUNIDAD FORAL DE)
    8.-Hurtos;1575;1400;-11,1;NAVARRA (COMUNIDAD FORAL DE)
    9.-Sustracciones de vehículos;51;40;-21,6;NAVARRA (COMUNIDAD FORAL DE)
    10.-Tráfico de drogas;46;40;-13;NAVARRA (COMUNIDAD FORAL DE)
    Resto de infracciones penales;4054;4297;6;NAVARRA (COMUNIDAD FORAL DE)
    TOTAL INFRACCIONES PENALES;6295;6355;1;NAVARRA (COMUNIDAD FORAL DE)
PAÍS VASCO;;;;
    1.-Homicidios dolosos y asesinatos consumados;3;7;133,3;PAÍS VASCO
    2.-Homicidios dolosos y asesinatos en grado tentativa;11;6;-45,5;PAÍS VASCO
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;266;250;-6;PAÍS VASCO
    4.-Secuestro;2;1;-50;PAÍS VASCO
    5.-Delitos contra la libertad e indemnidad sexual;114;158;38,6;PAÍS VASCO
    5.1.-Agresión sexual con penetración;24;16;-33,3;PAÍS VASCO
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;90;142;57,8;PAÍS VASCO
    6.-Robos con violencia e intimidación;457;307;-32,8;PAÍS VASCO
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;2244;1739;-22,5;PAÍS VASCO
    7.1.-Robos con fuerza en domicilios;1405;1054;-25;PAÍS VASCO
    8.-Hurtos;7306;6101;-16,5;PAÍS VASCO
    9.-Sustracciones de vehículos;249;179;-28,1;PAÍS VASCO
    10.-Tráfico de drogas;98;117;19,4;PAÍS VASCO
    Resto de infracciones penales;12229;12833;4,9;PAÍS VASCO
    TOTAL INFRACCIONES PENALES;22979;21698;-5,6;PAÍS VASCO
RIOJA (LA);;;;
    1.-Homicidios dolosos y asesinatos consumados;0;2;100;RIOJA (LA)
    2.-Homicidios dolosos y asesinatos en grado tentativa;1;2;100;RIOJA (LA)
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;24;41;70,8;RIOJA (LA)
    4.-Secuestro;0;0;0;RIOJA (LA)
    5.-Delitos contra la libertad e indemnidad sexual;18;29;61,1;RIOJA (LA)
    5.1.-Agresión sexual con penetración;3;4;33,3;RIOJA (LA)
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;15;25;66,7;RIOJA (LA)
    6.-Robos con violencia e intimidación;26;16;-38,5;RIOJA (LA)
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;155;136;-12,3;RIOJA (LA)
    7.1.-Robos con fuerza en domicilios;116;103;-11,2;RIOJA (LA)
    8.-Hurtos;549;444;-19,1;RIOJA (LA)
    9.-Sustracciones de vehículos;14;6;-57,1;RIOJA (LA)
    10.-Tráfico de drogas;31;13;-58,1;RIOJA (LA)
    Resto de infracciones penales;1307;1165;-10,9;RIOJA (LA)
    TOTAL INFRACCIONES PENALES;2125;1854;-12,8;RIOJA (LA)
CIUDAD AUTÓNOMA DE CEUTA;;;;
    1.-Homicidios dolosos y asesinatos consumados;1;0;-100;CIUDAD AUTÓNOMA DE CEUTA
    2.-Homicidios dolosos y asesinatos en grado tentativa;12;0;-100;CIUDAD AUTÓNOMA DE CEUTA
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;8;22;175;CIUDAD AUTÓNOMA DE CEUTA
    4.-Secuestro;0;0;0;CIUDAD AUTÓNOMA DE CEUTA
    5.-Delitos contra la libertad e indemnidad sexual;6;7;16,7;CIUDAD AUTÓNOMA DE CEUTA
    5.1.-Agresión sexual con penetración;0;0;0;CIUDAD AUTÓNOMA DE CEUTA
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;6;7;16,7;CIUDAD AUTÓNOMA DE CEUTA
    6.-Robos con violencia e intimidación;42;21;-50;CIUDAD AUTÓNOMA DE CEUTA
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;16;24;50;CIUDAD AUTÓNOMA DE CEUTA
    7.1.-Robos con fuerza en domicilios;7;16;128,6;CIUDAD AUTÓNOMA DE CEUTA
    8.-Hurtos;210;187;-11;CIUDAD AUTÓNOMA DE CEUTA
    9.-Sustracciones de vehículos;52;36;-30,8;CIUDAD AUTÓNOMA DE CEUTA
    10.-Tráfico de drogas;63;115;82,5;CIUDAD AUTÓNOMA DE CEUTA
    Resto de infracciones penales;718;723;0,7;CIUDAD AUTÓNOMA DE CEUTA
    TOTAL INFRACCIONES PENALES;1128;1135;0,6;CIUDAD AUTÓNOMA DE CEUTA
CIUDAD AUTÓNOMA DE MELILLA;;;;
    1.-Homicidios dolosos y asesinatos consumados;0;0;0;CIUDAD AUTÓNOMA DE MELILLA
    2.-Homicidios dolosos y asesinatos en grado tentativa;1;1;0;CIUDAD AUTÓNOMA DE MELILLA
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;34;30;-11,8;CIUDAD AUTÓNOMA DE MELILLA
    4.-Secuestro;0;0;0;CIUDAD AUTÓNOMA DE MELILLA
    5.-Delitos contra la libertad e indemnidad sexual;9;5;-44,4;CIUDAD AUTÓNOMA DE MELILLA
    5.1.-Agresión sexual con penetración;2;0;-100;CIUDAD AUTÓNOMA DE MELILLA
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7;5;-28,6;CIUDAD AUTÓNOMA DE MELILLA
    6.-Robos con violencia e intimidación;82;109;32,9;CIUDAD AUTÓNOMA DE MELILLA
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;45;22;-51,1;CIUDAD AUTÓNOMA DE MELILLA
    7.1.-Robos con fuerza en domicilios;30;17;-43,3;CIUDAD AUTÓNOMA DE MELILLA
    8.-Hurtos;289;246;-14,9;CIUDAD AUTÓNOMA DE MELILLA
    9.-Sustracciones de vehículos;17;15;-11,8;CIUDAD AUTÓNOMA DE MELILLA
    10.-Tráfico de drogas;17;39;129,4;CIUDAD AUTÓNOMA DE MELILLA
    Resto de infracciones penales;836;812;-2,9;CIUDAD AUTÓNOMA DE MELILLA
    TOTAL INFRACCIONES PENALES;1330;1279;-3,8;CIUDAD AUTÓNOMA DE MELILLA
EN EL EXTRANJERO;;;;
    1.-Homicidios dolosos y asesinatos consumados;1;0;-100;EN EL EXTRANJERO
